file,class,method,variable,usage
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,getRecipes/0,recipes,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeRecipeList/0,recipes,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeRecipeList/0,recipes_file,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeCookbookFromFile/0,recipes,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeCookbookFromFile/0,recipes_file,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,addGlobalIngredient/1[java.lang.String],global_ingredients,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,getRecipesFilename/0,recipes_file,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,getRecipe/1[java.lang.String],recipes,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,addRecipe/1[hse.exam.extremeprogrammingcookbook.model.Recipe],recipes,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,getAvailableIngredients/0,global_ingredients,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,Recipe/1[java.lang.String],recipe_name,3
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,"Recipe/2[java.lang.String,java.lang.String]",recipe_name,3
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,"Recipe/2[java.lang.String,java.lang.String]",description,3
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,removeIngredient/1[java.lang.String],ingredients,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,getIngredientList/0,ingredients,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,containsIngredient/1[java.lang.String],ingredients,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,"addIngredient/2[java.lang.String,java.lang.Integer]",ingredients,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,seeAddRecipeMenu/0,recipeViewContainer,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,seeAddRecipeMenu/0,recipeAddContainer,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,goBackToRecipeListMenu/0,recipeAddContainer,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,showRecipeDescription/1[hse.exam.extremeprogrammingcookbook.model.Recipe],singleRecipeDescription,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,showRecipeDescription/1[hse.exam.extremeprogrammingcookbook.model.Recipe],singleRecipeTitle,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,showRecipeDescription/1[hse.exam.extremeprogrammingcookbook.model.Recipe],singleRecipeViewBox,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,saveRecipes/0,cookbook,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,Controller/0,cookbook,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,loadRecipeListInView/0,cookbook,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,loadRecipeListInView/0,recipeViewContainer,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,loadRecipeListInView/0,recipesTilePane,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/view/Controller.java,hse.exam.extremeprogrammingcookbook.view.Controller,onClickBtnAddRecipe/0,recipeTitle,2
