file,class,method,variable,usage
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeRecipeList/0,e,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeRecipeList/0,recipe,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeRecipeList/0,writer,3
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeRecipeList/0,content,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,loadIngredients/1[java.lang.String],filepath,0
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeCookbookFromFile/0,e,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeCookbookFromFile/0,reader,3
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeCookbookFromFile/0,recipe,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeCookbookFromFile/0,recipe_name,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,makeCookbookFromFile/0,description,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,addGlobalIngredient/1[java.lang.String],ingredient,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,getRecipe/1[java.lang.String],name,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,getRecipe/1[java.lang.String],recipe,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,loadRecipe/1[java.lang.String],filepath,0
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Cookbook.java,hse.exam.extremeprogrammingcookbook.model.Cookbook,addRecipe/1[hse.exam.extremeprogrammingcookbook.model.Recipe],recipe,1
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,Recipe/1[java.lang.String],recipe_name,2
/home/igor/ExtremeProgrammingCookbook/src/main/java/hse/exam/extremeprogrammingcookbook/model/Recipe.java,hse.exam.extremeprogrammingcookbook.model.Recipe,"Recipe/2[java.lang.String,java.lang.String]",recipe_name,2
